;;;;;;;;;;Year;Total Population, as of 1 January (thousands);Total Population, as of 1 July (thousands);Male Population, as of 1 July (thousands);Female Population, as of 1 July (thousands);Population Density, as of 1 July (persons per square km);Population Sex Ratio, as of 1 July (males per 100 females);Median Age, as of 1 July (years);Natural Change, Births minus Deaths (thousands);Rate of Natural Change (per 1,000 population);Population Change (thousands);Population Growth Rate (percentage);Population Annual Doubling Time (years);Births (thousands);Births by women aged 15 to 19 (thousands);Crude Birth Rate (births per 1,000 population);Total Fertility Rate (live births per woman);Net Reproduction Rate (surviving daughters per woman);Mean Age Childbearing (years);Sex Ratio at Birth (males per 100 female births);Total Deaths (thousands);Male Deaths (thousands);Female Deaths (thousands);Crude Death Rate (deaths per 1,000 population);Life Expectancy at Birth, both sexes (years);Male Life Expectancy at Birth (years);Female Life Expectancy at Birth (years);Life Expectancy at Age 15, both sexes (years);Male Life Expectancy at Age 15 (years);Female Life Expectancy at Age 15 (years);Life Expectancy at Age 65, both sexes (years);Male Life Expectancy at Age 65 (years);Female Life Expectancy at Age 65 (years);Life Expectancy at Age 80, both sexes (years);Male Life Expectancy at Age 80 (years);Female Life Expectancy at Age 80 (years);Infant Deaths, under age 1 (thousands);Infant Mortality Rate (infant deaths per 1,000 live births);Live Births Surviving to Age 1 (thousands);Under-Five Deaths, under age 5 (thousands);Under-Five Mortality (deaths under age 5 per 1,000 live births);Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births);Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births);Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births);Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births);Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births);Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births);Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15);Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15);Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15);Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15);Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15);Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15);Net Number of Migrants (thousands);Net Migration Rate (per 1,000 population);Mortalidad por Causas Transmisibles, hombres;Mortalidad por Causas Transmisibles, mujeres;Mortalidad por Causas No Transmisibles, hombres;Mortalidad por Causas No Transmisibles, mujeres
;;;;;;;;;;1950;  7 571;  7 679;  3 858;  3 821;6.0;101.0;17.9;   215;27.9;   216;2.81;24.7;   370;   50;48.2;6.94;2.27;29.4;   104;   155;   80;   75;20.2;46.2;45.2;47.3;50.5;49.9;51.1;12.0;11.8;12.2;5.1;4.9;5.3;   58;157.0;329.180;   97;   273;   383;   396;   371;   511;   526;   495;   186;   192;   180;   298;   311;   286;   1;0.1;16;12.9;26.3;16.1
;;;;;;;;;;1951;  7 787;  7 897;  3 968;  3 930;6.2;101.0;17.9;   221;28.0;   221;2.80;24.7;   380;   51;48.1;6.94;2.28;29.4;   104;   159;   83;   76;20.1;46.4;45.3;47.6;50.6;50.0;51.3;12.1;11.8;12.2;5.2;4.9;5.3;   59;156.3;338.394;   100;   272;   381;   394;   367;   508;   524;   490;   184;   191;   176;   296;   309;   282;   0;0.1;14.6;16;29.2;19.1
;;;;;;;;;;1952;  8 008;  8 121;  4 081;  4 041;6.3;101.0;17.8;   228;28.1;   226;2.79;24.9;   391;   53;48.1;6.95;2.29;29.4;   104;   162;   84;   78;20.0;46.7;45.6;47.8;50.7;50.0;51.4;12.1;11.9;12.2;5.2;4.9;5.3;   60;155.0;348.286;   102;   269;   377;   390;   364;   504;   521;   487;   182;   190;   175;   294;   307;   280;-   2;-0.2;16;7.5;19.4;18.1
;;;;;;;;;;1953;  8 235;  8 349;  4 196;  4 154;6.5;101.0;17.8;   236;28.3;   230;2.75;25.2;   402;   54;48.1;6.95;2.30;29.5;   104;   165;   86;   79;19.8;47.0;45.9;48.1;50.8;50.2;51.4;12.1;11.9;12.2;5.2;5.0;5.3;   61;153.3;358.369;   103;   265;   373;   385;   360;   500;   516;   483;   180;   187;   173;   291;   304;   278;-   7;-0.8;17.6;14.3;19.2;21.3
;;;;;;;;;;1954;  8 464;  8 583;  4 314;  4 270;6.7;101.0;17.7;   244;28.4;   238;2.78;25.0;   412;   55;48.0;6.96;2.32;29.5;   104;   168;   87;   81;19.5;47.4;46.3;48.4;50.9;50.3;51.5;12.1;11.9;12.3;5.2;5.0;5.3;   62;151.4;368.185;   104;   262;   368;   380;   355;   495;   511;   479;   178;   184;   172;   289;   301;   276;-   6;-0.7;14;12.7;28.7;32.7
;;;;;;;;;;1955;  8 703;  8 826;  4 436;  4 390;6.9;101.0;17.6;   253;28.6;   247;2.80;24.8;   423;   56;47.9;6.96;2.34;29.5;   104;   170;   88;   82;19.2;47.8;46.7;48.8;51.1;50.5;51.7;12.1;11.9;12.3;5.2;5.0;5.3;   63;149.3;378.523;   105;   257;   362;   374;   350;   489;   505;   473;   175;   181;   169;   286;   297;   274;-   6;-0.7;13.8;11.8;27.9;12.1
;;;;;;;;;;1956;  8 949;  9 077;  4 563;  4 514;7.1;101.1;17.5;   262;28.9;   256;2.82;24.6;   434;   58;47.8;6.96;2.36;29.5;   104;   172;   89;   82;18.9;48.3;47.2;49.3;51.2;50.6;51.8;12.1;11.9;12.3;5.2;5.0;5.3;   63;146.8;389.157;   106;   252;   355;   367;   343;   483;   498;   467;   172;   178;   166;   282;   294;   270;-   7;-0.7;17.3;12.4;27.9;25.1
;;;;;;;;;;1957;  9 205;  9 337;  4 694;  4 643;7.3;101.1;17.5;   272;29.1;   264;2.83;24.5;   445;   58;47.6;6.96;2.38;29.5;   104;   173;   90;   83;18.5;48.8;47.7;49.9;51.4;50.8;52.0;12.2;11.9;12.3;5.2;5.0;5.3;   64;144.2;399.687;   106;   247;   348;   360;   336;   475;   491;   459;   169;   174;   163;   278;   290;   266;-   8;-0.8;15.5;8.1;28.7;13.9
;;;;;;;;;;1958;  9 469;  9 603;  4 828;  4 775;7.5;101.1;17.3;   282;29.3;   267;2.78;24.9;   456;   60;47.4;6.96;2.41;29.5;   104;   174;   91;   83;18.1;49.3;48.2;50.4;51.6;51.0;52.2;12.2;12.0;12.4;5.2;5.0;5.3;   64;141.3;410.669;   106;   241;   340;   353;   328;   468;   484;   451;   165;   171;   159;   274;   286;   262;-   15;-1.5;12.9;11.5;23.9;19.9
;;;;;;;;;;1959;  9 736;  9 879;  4 967;  4 912;7.7;101.1;17.2;   291;29.5;   286;2.90;23.9;   466;   61;47.1;6.95;2.43;29.5;   104;   175;   91;   84;17.7;49.9;48.8;51.1;51.8;51.2;52.5;12.2;12.0;12.4;5.2;5.0;5.3;   64;138.3;420.820;   106;   235;   332;   345;   319;   460;   476;   443;   161;   167;   155;   269;   282;   257;-   5;-0.5;14.8;12.6;28.7;28
